smnno,first_month,amount,second_month,amount,third_month,amount 
SP0371,OCT,10000,NOV,10000,DEC,10000
SP0372,OCT,13335,NOV,13335,DEC,13335
SP0373,OCT,5000,NOV,5000,DEC,5000
SP0374,OCT,10000,NOV,10000,DEC,10000
SP0376,OCT,37217,NOV,37217,DEC,37217
SP0377,OCT,20000,NOV,20000,DEC,20000
SP0378,OCT,10000,NOV,10000,DEC,10000
SP0379,OCT,5000,NOV,5000,DEC,5000
SP0380,OCT,5000,NOV,5000,DEC,5000
SP0382,OCT,20000,NOV,20000,DEC,20000
SP0383,OCT,42933,NOV,42933,DEC,42933
SP0384,OCT,61667,NOV,61667,DEC,61667
SP0386,OCT,98906,NOV,98906,DEC,98906
SP0387,OCT,49167,NOV,49167,DEC,49167
SP0388,OCT,160000,NOV,160000,DEC,160000
SP0394,OCT,11500,NOV,11500,DEC,11500
SP0396,OCT,151168,NOV,151168,DEC,151168
SP0398,OCT,14683,NOV,14683,DEC,14683
SP0399,OCT,29716,NOV,29716,DEC,29716
SP0400,OCT,5000,NOV,5000,DEC,5000
SP0402,OCT,8550,NOV,8550,DEC,8550
SP0403,OCT,5000,NOV,5000,DEC,5000
SP0406,OCT,10000,NOV,10000,DEC,10000
SP0408,OCT,40000,NOV,40000,DEC,40000
SP0409,OCT,10000,NOV,10000,DEC,10000
SP0413,OCT,5000,NOV,5000,DEC,5000
SP0417,OCT,50875,NOV,50875,DEC,50875
SP0418,OCT,5000,NOV,5000,DEC,5000
SP0420,OCT,76950,NOV,76950,DEC,76950
SP0421,OCT,10000,NOV,10000,DEC,10000
SP0422,OCT,0,NOV,0,DEC,0
SP0423,OCT,75033,NOV,75033,DEC,75033
SP0426,OCT,72067,NOV,72067,DEC,72067
SP0427,OCT,32917,NOV,32917,DEC,32917
SP0428,OCT,37500,NOV,37500,DEC,37500
SP0433,OCT,17500,NOV,17500,DEC,17500
SP0434,OCT,10000,NOV,10000,DEC,10000
SP0435,OCT,62937,NOV,62937,DEC,62937
SP0441,OCT,5000,NOV,5000,DEC,5000
SP0442,OCT,25134,NOV,25134,DEC,25134
SP0443,OCT,78378,NOV,78378,DEC,78378
SP0444,OCT,5000,NOV,5000,DEC,5000
SP0445,OCT,5000,NOV,5000,DEC,5000
SP0447,OCT,5000,NOV,5000,DEC,5000
SP0449,OCT,10000,NOV,10000,DEC,10000
SP0450,OCT,5000,NOV,5000,DEC,5000
SP0451,OCT,25834,NOV,25834,DEC,25834
SP0456,OCT,0,NOV,0,DEC,0
SP0462,OCT,31667,NOV,31667,DEC,31667
SP0466,OCT,5000,NOV,5000,DEC,5000
SP0467,OCT,29750,NOV,29750,DEC,29750
SP0472,OCT,108421,NOV,108421,DEC,108421
SP0473,OCT,150000,NOV,150000,DEC,150000
SP0474,OCT,27533,NOV,27533,DEC,27533
SP0475,OCT,23333,NOV,23333,DEC,23333
SP0476,OCT,23600,NOV,23600,DEC,23600
